WORD,MEANING,AoAtestbased,AoArating,LWV,CDI,Morr,Floc
shipman,master of a ship,12,,12,#N/A,#N/A,#N/A
shipmaster,merchant marine captain,10,,10,#N/A,#N/A,#N/A
shipmate,fellow sailor,4,9.4,4,#N/A,#N/A,#N/A
shipment,shipped goods,2,9.8,4,#N/A,#N/A,#N/A
shipowner,owns ships,4,,4,#N/A,#N/A,#N/A
shipper,sends goods out,6,9.9,6,#N/A,#N/A,#N/A
shipping,goods transportation,6,9.2,6,#N/A,#N/A,#N/A
shipshape,in good order,4,8.7,4,#N/A,#N/A,#N/A
shipwreck,destroyed ship,4,10.4,4,#N/A,#N/A,#N/A
shipyard,where ships are built,2,10.5,4,#N/A,#N/A,#N/A
shire,an English county,13,10.9,13,#N/A,#N/A,#N/A
shirk,avoid a duty,12,12.8,12,#N/A,#N/A,7
shirr,to draw up cloth,13,,13,#N/A,#N/A,#N/A
shirring,way  of baking eggs,12,,12,#N/A,#N/A,#N/A
shirt,clothing,2,4.2,4,20,56.5,#N/A
shirtband,a collar,6,,6,#N/A,#N/A,#N/A
shirt-sleeve,informal,6,,6,#N/A,#N/A,#N/A
shirtwaist,blouse,14,,16,#N/A,#N/A,#N/A
shish kebab,meat cooked on skewers,12,,12,#N/A,#N/A,#N/A
shivaree,a serenade for newlyweds,12,,12,#N/A,#N/A,#N/A
shiver,to shake,4,7.0,4,#N/A,#N/A,2
shiver,to break into small pieces,12,7.0,12,#N/A,#N/A,2
shivery,shaky with fear,6,10.9,6,#N/A,#N/A,#N/A
shoal of fish,large group of fish,12,,12,#N/A,#N/A,#N/A
shoals,sand bank,13,12.6,13,#N/A,#N/A,#N/A
shoals,shallow places,14,12.6,16,#N/A,#N/A,#N/A
shoat,young hog,14,12.7,16,#N/A,#N/A,#N/A
shock,jar by electricity,4,7.4,4,#N/A,#N/A,#N/A
shock,sudden weakening,4,7.4,4,#N/A,#N/A,#N/A
shock,surprise or disgust,4,7.4,4,#N/A,#N/A,#N/A
shock,emotional upset,4,7.4,4,#N/A,#N/A,#N/A
shock,sudden blow,6,7.4,6,#N/A,#N/A,#N/A
shock,slack of grain,10,7.4,10,#N/A,#N/A,#N/A
shock,bushy mass,13,7.4,13,#N/A,#N/A,#N/A
shocker,horror movie,6,11.6,6,#N/A,#N/A,#N/A
shocking,causing painful surprise,6,7.6,6,#N/A,#N/A,#N/A
shod,wearing shoes,12,3.1,12,#N/A,#N/A,#N/A
shoddy,of poor quality,10,11.7,10,#N/A,#N/A,#N/A
shoe,foot covering,2,3.1,4,16,22.1,#N/A
shoebil,African wading bird,14,,16,#N/A,#N/A,#N/A
shoehorn,used to put on shoes,4,7.9,4,#N/A,#N/A,#N/A
shoelace,string for fastening,2,4.2,4,#N/A,#N/A,#N/A
shoemaker,makes shoes,2,7.6,4,#N/A,#N/A,#N/A
shoeshine,polish on shoes,2,7.1,4,#N/A,#N/A,#N/A
shoestring,a shoelace,6,6.2,6,#N/A,#N/A,#N/A
shoestring,small beginning,10,6.2,10,#N/A,#N/A,#N/A
shoetree,a block to keep shoe in shape,12,11.4,12,#N/A,#N/A,#N/A
shogun,a Japanese army leader,13,11.6,13,#N/A,#N/A,#N/A
shone,gave light,12,6.0,12,#N/A,#N/A,#N/A
shoo,go away,2,,4,#N/A,#N/A,#N/A
shoo-f ly,kind of pie,13,,13,#N/A,#N/A,#N/A
shook,trembled,4,5.5,4,#N/A,#N/A,#N/A
shookup,upset someone,4,,4,#N/A,#N/A,#N/A
shoon,shoes,13,,13,#N/A,#N/A,#N/A
shoot,"hit with bullet, arrow, etc.",2,5.8,4,#N/A,#N/A,#N/A
shoot,to send out like bullets,2,5.8,4,#N/A,#N/A,#N/A
shoot,fire a gun,2,5.8,4,#N/A,#N/A,#N/A
shoot,pass through quickly,6,5.8,6,#N/A,#N/A,#N/A
shoot,to take a picture,6,5.8,6,#N/A,#N/A,#N/A
shoot,part of a young plant,10,5.8,10,#N/A,#N/A,#N/A
shooting star,a meteor,6,,6,#N/A,#N/A,#N/A
shop,buy things,2,5.0,4,#N/A,#N/A,#N/A
shop,a store,2,5.0,4,#N/A,#N/A,#N/A
shop,a place for work,4,5.0,4,#N/A,#N/A,#N/A
shop window,a store's disply glass,6,,6,#N/A,#N/A,#N/A
shopgirl,a salesgirl,12,,12,#N/A,#N/A,#N/A
shopkeeper,runs a shop,2,7.1,4,#N/A,#N/A,#N/A
shoplifter,steals goods,6,8.7,6,#N/A,#N/A,#N/A
shopman,salesman in store,12,,12,#N/A,#N/A,#N/A
shopper,buys things,2,6.6,4,#N/A,#N/A,#N/A
shopping,buying things,2,5.9,4,24,#N/A,#N/A
shopworn,soiled by handling,13,11.1,13,#N/A,#N/A,#N/A
shore,land by the sea,2,6.4,4,#N/A,#N/A,0
shore up,to prop up,12,,12,#N/A,#N/A,#N/A
shoreline,the coast,6,6.8,6,#N/A,#N/A,#N/A
shoreward,toward shore,6,,6,#N/A,#N/A,#N/A
shorn,cut off close,14,9.4,16,#N/A,#N/A,#N/A
short,not tall,2,4.8,4,#N/A,#N/A,#N/A
short,not long,2,4.8,4,#N/A,#N/A,#N/A
short,not enough of,4,4.8,4,#N/A,#N/A,#N/A
short,trouble in electric line,6,4.8,6,#N/A,#N/A,#N/A
short,crisp or crumbling,12,4.8,12,#N/A,#N/A,#N/A
short circuit,bad electrical connection,6,,6,#N/A,#N/A,#N/A
short cut,quicker way,4,,4,#N/A,#N/A,#N/A
short division,steps worked out mentally,12,,12,#N/A,#N/A,#N/A
short order,quick lunch sales,12,,12,#N/A,#N/A,#N/A
short wave,a radio wave,4,,4,#N/A,#N/A,#N/A
shortage,too small an amount,4,9.2,4,#N/A,#N/A,#N/A
shortbread,"a rich, crumbly cake",12,8.8,12,#N/A,#N/A,#N/A
shortcake,a biscuit or teacake,2,6.8,4,#N/A,#N/A,#N/A
short-change,to give less than right change,4,11.8,4,#N/A,#N/A,#N/A
shortcoming,a fault,12,9.3,12,#N/A,#N/A,#N/A
shorten,make smaller,4,7.2,4,#N/A,#N/A,#N/A
shorten,"to add butter, etc., to dough",12,7.2,12,#N/A,#N/A,#N/A
shortening,making short,4,7.2,4,#N/A,#N/A,#N/A
shortening,fat,8,7.2,8,#N/A,#N/A,#N/A
shortfall,shortage,12,13.3,12,#N/A,#N/A,#N/A
shorthand,kind of writing,4,10.9,4,#N/A,#N/A,#N/A
short-handed,lacking workers,8,,8,#N/A,#N/A,#N/A
shorthorn,breed of cattle,8,14.1,8,#N/A,#N/A,#N/A
short-lived,lasts only a short while,6,,6,#N/A,#N/A,#N/A
shortly,soon,6,,6,#N/A,#N/A,#N/A
shortness,being short,2,8.1,4,#N/A,#N/A,#N/A
shortness,not having enough,4,8.1,4,#N/A,#N/A,#N/A
shorts,summer parks,2,4.0,4,22,#N/A,#N/A
shorts,men's underwear,6,4.0,6,22,#N/A,#N/A
short-sighted,can't see far,2,11.3,4,#N/A,#N/A,#N/A
short-sighted,doesn't think ahead,6,11.3,6,#N/A,#N/A,#N/A
shortstop,baseball infielder,4,8.2,4,#N/A,#N/A,#N/A
short-winded,out of breath,6,,6,#N/A,#N/A,#N/A
shot,hit by bullet,2,6.0,4,#N/A,#N/A,#N/A
shot,a dose of medicine,6,6.0,6,#N/A,#N/A,#N/A
shot,an injection,6,6.0,6,#N/A,#N/A,#N/A
shot,attempt to hit target,6,6.0,6,#N/A,#N/A,#N/A
shot,a drink of liquor,6,6.0,6,#N/A,#N/A,#N/A
shot,pellets,6,6.0,6,#N/A,#N/A,#N/A
shot,photographed,8,6.0,8,#N/A,#N/A,#N/A
shot,worn out,10,6.0,10,#N/A,#N/A,#N/A
shot,a try,10,6.0,10,#N/A,#N/A,#N/A
shot,handles gun well,13,6.0,13,#N/A,#N/A,#N/A
shot,film record,13,6.0,13,#N/A,#N/A,#N/A
shotgun,hunting gun,2,7.5,4,#N/A,#N/A,#N/A
shot-put,a ball-tossing contest,8,,8,#N/A,#N/A,#N/A
should,ought to,4,7.3,4,#N/A,#N/A,#N/A
should,happens to,6,7.3,6,#N/A,#N/A,#N/A
shoulder,part of the body,2,4.8,4,27,#N/A,#N/A
shoulder,part of a garment,4,4.8,4,27,#N/A,#N/A
shoulder,edge of road,6,4.8,6,27,#N/A,#N/A
shoulder,push aside,6,4.8,6,27,#N/A,#N/A
shoulder,the upper part part of an animal's foreleg,8,4.8,8,27,#N/A,#N/A
shoulder,pick up a load,10,4.8,10,27,#N/A,#N/A
shoulder,accept responsiblity,10,4.8,10,27,#N/A,#N/A
shoulder blade,a shoulder bone,4,,4,#N/A,#N/A,#N/A
shouldn't,ought not,4,,4,#N/A,#N/A,#N/A
shouldst,should,12,,12,#N/A,#N/A,#N/A
should've,should have,4,,4,#N/A,#N/A,#N/A
shout,a loud cry,4,4.8,4,#N/A,#N/A,#N/A
shove,push,2,6.6,4,#N/A,#N/A,#N/A
shovel,digging tool,2,6.0,4,23,#N/A,#N/A
shovel,to dig,2,6.0,#N/A,23,#N/A,#N/A
shovelful,what a spade will hold,6,6.7,6,#N/A,#N/A,#N/A
show,the appearance only,2,5.3,4,26,#N/A,#N/A
show,to point out,2,5.3,4,26,#N/A,#N/A
show,movie or TV program,2,5.3,4,26,#N/A,#N/A
show,performance,2,5.3,4,26,#N/A,#N/A
show,to let be seen,2,5.3,4,26,#N/A,#N/A
show,take third place,12,5.3,12,26,#N/A,#N/A
show bill,advertises movie,12,,12,#N/A,#N/A,#N/A
show up,appear,4,,4,#N/A,#N/A,#N/A
show up,to expose someone,12,,12,#N/A,#N/A,#N/A
showboat,theater boat,6,11.7,6,#N/A,#N/A,#N/A
showbread,bread for religious ceremony,12,,12,#N/A,#N/A,#N/A
showcase,store's display,6,9.9,6,#N/A,#N/A,#N/A
showdown,forcing a hand,8,8.4,8,#N/A,#N/A,#N/A
shower,a short rain,2,6.3,4,22,#N/A,#N/A
shower,a bath,2,6.3,4,22,#N/A,#N/A
shower,party for bride,6,6.3,6,22,#N/A,#N/A
shower,a large supply,10,6.3,10,22,#N/A,#N/A
showing,performance,4,5.3,4,#N/A,#N/A,#N/A
showing,an exhibition,6,5.3,6,#N/A,#N/A,#N/A
showman,gives or manages shows,2,10.2,4,#N/A,#N/A,#N/A
showman,presents things well,10,10.2,10,#N/A,#N/A,#N/A
shown,let see,2,5.3,4,#N/A,#N/A,#N/A
shown,pointed out,6,5.3,6,#N/A,#N/A,#N/A
show-off,wants to be seen,4,7.3,4,#N/A,#N/A,#N/A
showplace,attracts visitors,10,11.3,10,#N/A,#N/A,#N/A
showroom,display room,6,11.2,6,#N/A,#N/A,#N/A
showy,attracts attention,8,10.3,8,#N/A,#N/A,#N/A
shrank,became smaller,4,7.2,4,#N/A,#N/A,#N/A
shrank,drew back,6,7.2,6,#N/A,#N/A,#N/A
shrapnel,explosive shell,12,12.2,12,#N/A,#N/A,#N/A
shred,cut in pieces,6,8.4,6,#N/A,#N/A,#N/A
shred,a small piece of something,6,8.4,6,#N/A,#N/A,#N/A
shrew,a mouselike animal,12,11.4,12,#N/A,#N/A,#N/A
shrew,bad-tempered woman,12,11.4,12,#N/A,#N/A,#N/A
shrewd,clever,10,11.8,10,#N/A,#N/A,#N/A
shrewdness,keenness,10,11.8,10,#N/A,#N/A,#N/A
shriek,to cry out,6,8.2,6,#N/A,#N/A,1
shrift,confession to priest,13,12.1,13,#N/A,#N/A,#N/A
shrike,a songbird,12,,12,#N/A,#N/A,#N/A
shrill,having sharp sound,6,10.9,6,#N/A,#N/A,#N/A
shrimp,a sea animal,4,6.6,4,#N/A,#N/A,#N/A
shrimp,small person,6,6.6,6,#N/A,#N/A,#N/A
shrine,sacred place,8,10.0,8,#N/A,#N/A,#N/A
shrink,grow smaller,4,7.2,4,#N/A,#N/A,#N/A
shrink,draw back,6,7.2,6,#N/A,#N/A,#N/A
shrinkage,amount it gets smaller,4,10.8,4,#N/A,#N/A,#N/A
shrive,hear confession,13,,13,#N/A,#N/A,#N/A
shrivel,dry up,8,9.6,8,#N/A,#N/A,#N/A
shrivel up,"to wrinkle, wither",4,,4,#N/A,#N/A,#N/A
shroud,cover for a space probe,12,11.8,12,#N/A,#N/A,#N/A
shroud,to veil or cover,12,11.8,12,#N/A,#N/A,#N/A
shroud,burial wrap,12,11.8,12,#N/A,#N/A,#N/A
shrub,a bush,4,7.8,4,#N/A,#N/A,#N/A
shrubbery,bushes,4,8.9,4,#N/A,#N/A,#N/A
shrug,hunch shoulders,6,8.0,6,#N/A,#N/A,#N/A
shrunk,got smaller,2,7.2,4,#N/A,#N/A,#N/A
shrunk,drew back afraid,8,7.2,8,#N/A,#N/A,#N/A
shrunken,made smaller,4,8.9,4,#N/A,#N/A,#N/A
shtetl,a small community,13,,13,#N/A,#N/A,#N/A
shuck,husk corn,6,10.1,6,#N/A,#N/A,#N/A
shucks,expression of disappointment,2,,4,#N/A,#N/A,#N/A
shudder,shake with cold,6,9.7,6,#N/A,#N/A,#N/A
shudder,to shake with horror,10,9.7,10,#N/A,#N/A,#N/A
shuffle,mix up,4,8.2,4,#N/A,#N/A,#N/A
shuffle,drag one's feet,8,8.2,8,#N/A,#N/A,#N/A
shuffle off,push aside,12,,12,#N/A,#N/A,#N/A
shuffleboard,game using disks,4,10.6,4,#N/A,#N/A,#N/A
shun,avoid,10,10.6,10,#N/A,#N/A,#N/A
shunt,a railroad switch,12,12.9,12,#N/A,#N/A,#N/A
shunt,turn aside,14,12.9,16,#N/A,#N/A,#N/A
shush,to hush someone,6,5.9,6,#N/A,#N/A,#N/A
shut,close,4,4.8,4,#N/A,#N/A,#N/A
shut,closed,4,4.8,4,#N/A,#N/A,#N/A
shut eye,sleep,6,,6,#N/A,#N/A,#N/A
shut up,be quiet,4,,4,#N/A,#N/A,#N/A
shutdown,closing,4,8.7,4,#N/A,#N/A,#N/A
shut-in,one kept in house,6,,6,#N/A,#N/A,#N/A
shutout,one side gets no score,4,9.3,4,#N/A,#N/A,#N/A
shutter,window cover,2,8.4,4,#N/A,#N/A,#N/A
shutter,part of camera,6,8.4,6,#N/A,#N/A,#N/A
shuttle,train or bus with short run,10,8.9,10,#N/A,#N/A,#N/A
shuttle,move back and forth,10,8.9,10,#N/A,#N/A,#N/A
shuttle,a weaving instrument,12,8.9,12,#N/A,#N/A,#N/A
shuttle,holds bobbin,14,8.9,16,#N/A,#N/A,#N/A
shuttlecock,used for badminton,14,,16,#N/A,#N/A,#N/A
shy,bashful,2,5.4,4,#N/A,#N/A,#N/A
shy,not full amount,6,5.4,6,#N/A,#N/A,#N/A
shy,throw quickly,13,5.4,13,#N/A,#N/A,#N/A
shy away,to draw back quickly,12,,12,#N/A,#N/A,#N/A
shyness,being bashful,4,7.2,4,#N/A,#N/A,#N/A
shyster,tricky lawyer,12,12.6,12,#N/A,#N/A,#N/A
si,yes,8,,8,#N/A,#N/A,#N/A
si,note of the scale,12,,12,#N/A,#N/A,#N/A
si,if,12,,12,#N/A,#N/A,#N/A
sibilant,hissing,12,14.5,12,#N/A,#N/A,#N/A
sibling,a brother or sister,12,7.1,12,#N/A,#N/A,1
sibyl,female prophet,14,,16,#N/A,#N/A,#N/A
sic,copied exactly,13,,13,#N/A,#N/A,#N/A
sic,thus or so,14,,16,#N/A,#N/A,#N/A
sic on,to have attack,4,,4,#N/A,#N/A,#N/A
sick,feels bad,2,4.1,4,25,#N/A,#N/A
sick,abnormal,6,4.1,6,25,#N/A,#N/A
sick,disgusted,6,4.1,6,25,#N/A,#N/A
sick bay,hospital unit,10,,10,#N/A,#N/A,#N/A
sickbed,bed of ill person,2,9.9,4,#N/A,#N/A,#N/A
sicken,make ill,2,7.7,4,#N/A,#N/A,#N/A
sickening,making ill,4,7.3,4,#N/A,#N/A,#N/A
sickish,not very well,4,,4,#N/A,#N/A,#N/A
sickle,grass-cutting too,4,11.0,4,#N/A,#N/A,#N/A
sickle cell anemia,hereditary blood weakness,12,,12,#N/A,#N/A,#N/A
sickly,not healthy,6,7.4,6,#N/A,#N/A,#N/A
sickness,not feeling good,2,6.3,4,#N/A,#N/A,#N/A
side,edge or surface,2,5.3,4,#N/A,#N/A,#N/A
side,left or right,2,5.3,4,#N/A,#N/A,#N/A
side,family,4,5.3,4,#N/A,#N/A,#N/A
side,a part of,4,5.3,4,#N/A,#N/A,#N/A
side,one of 2 teams,4,5.3,4,#N/A,#N/A,#N/A
side,not main one,6,5.3,6,#N/A,#N/A,#N/A
side,slope of hill,8,5.3,8,#N/A,#N/A,#N/A
side,fancy airs,12,5.3,12,#N/A,#N/A,#N/A
side arms,weapons for belt,8,,8,#N/A,#N/A,#N/A
side effect,secondary reaction,8,,8,#N/A,#N/A,#N/A
side step,to avoid,8,,8,#N/A,#N/A,#N/A
side with,agree with,6,,6,#N/A,#N/A,#N/A
sidebar,supplements news story,12,12.6,12,#N/A,#N/A,#N/A
sideboard,piece of furniture,12,10.2,12,#N/A,#N/A,#N/A
sideburns,hair on side of face,4,8.4,4,#N/A,#N/A,#N/A
sidecar,for motorcycles,10,9.8,10,#N/A,#N/A,#N/A
sidekick,a partner,8,9.9,8,#N/A,#N/A,#N/A
sidelight,incidental information,12,,12,#N/A,#N/A,#N/A
sideline,the border of a sports field,6,8.3,6,#N/A,#N/A,#N/A
sideline,an addition to the main line,10,8.3,10,#N/A,#N/A,#N/A
sideline,a  second job,12,8.3,12,#N/A,#N/A,#N/A
sidelong,to one side,6,13.8,6,#N/A,#N/A,#N/A
sidereal,of the stars,14,,16,#N/A,#N/A,#N/A
sides,2 parts of argument,6,5.3,6,#N/A,#N/A,#N/A
sidesaddle,for woman rider,4,9.9,4,#N/A,#N/A,#N/A
sideshow,not main show,4,10.3,4,#N/A,#N/A,#N/A
sidesplitting,very funny,8,11.0,8,#N/A,#N/A,#N/A
sideswipe,hit along the side,8,12.5,8,#N/A,#N/A,#N/A
sidetrack,to switch off the main track,8,11.0,8,#N/A,#N/A,#N/A
sidetrack,turn aside,8,11.0,8,#N/A,#N/A,#N/A
sidewalk,pavement for walkers,2,4.3,4,27,#N/A,#N/A
sideway,a side street,8,7.0,8,#N/A,#N/A,#N/A
sideways,toward one side,4,,4,#N/A,#N/A,#N/A
sideways,with the side edge in front,6,,6,#N/A,#N/A,#N/A
sidewinder,swinging blow with fist,12,11.3,12,#N/A,#N/A,#N/A
sidewinder,small rattlesnake,13,11.3,13,#N/A,#N/A,#N/A
siding,track to switch cars,10,9.4,10,#N/A,#N/A,#N/A
siding,building material,12,9.4,12,#N/A,#N/A,#N/A
sidle,move sideways,14,,16,#N/A,#N/A,#N/A
siecle,era,13,,13,#N/A,#N/A,#N/A
siege,continued attack,8,11.3,8,#N/A,#N/A,6
sienna,brown color for paint,13,11.4,13,#N/A,#N/A,#N/A
sierra,a jagged mountain chain,10,,10,#N/A,#N/A,#N/A
siesta,a nap,8,11.8,8,#N/A,#N/A,#N/A
sieve,strainer,10,12.5,10,#N/A,#N/A,#N/A
sift,strain through,6,9.3,6,#N/A,#N/A,#N/A
sift,examine closely,10,9.3,10,#N/A,#N/A,#N/A
sifter,makes finer pieces,6,11.0,6,#N/A,#N/A,#N/A
sigh,make sad sound,6,7.5,6,#N/A,#N/A,#N/A
sight,power to see,2,6.1,4,#N/A,#N/A,#N/A
sight,what is seen,2,6.1,4,#N/A,#N/A,#N/A
sight,catch a view of,2,6.1,4,#N/A,#N/A,#N/A
sight,helps aim gun,4,6.1,4,#N/A,#N/A,#N/A
sight,an awful view,12,6.1,12,#N/A,#N/A,#N/A
sight draft,a draft payable at sight,12,,12,#N/A,#N/A,#N/A
sightless,blind,6,9.1,6,#N/A,#N/A,#N/A
sightly,pleasing to see,13,,13,#N/A,#N/A,#N/A
sights,things worth seeing,2,6.1,4,#N/A,#N/A,#N/A
sights,for aiming,4,6.1,4,#N/A,#N/A,#N/A
sightseeing,seeing places,4,11.0,4,#N/A,#N/A,#N/A
sightseer,goes to see places,4,11.4,4,#N/A,#N/A,#N/A
sigma,a Greek letter,8,14.4,8,#N/A,#N/A,#N/A
sign,a signal,2,5.5,4,#N/A,#N/A,#N/A
sign,"mark meaning divide, add, etc.",4,5.5,4,#N/A,#N/A,#N/A
sign,write your name,4,5.5,4,#N/A,#N/A,#N/A
sign,a printed notice,4,5.5,4,#N/A,#N/A,#N/A
sign,mark that means something,4,5.5,4,#N/A,#N/A,#N/A
sign,motion that means something,6,5.5,6,#N/A,#N/A,#N/A
sign,a trace,6,5.5,6,#N/A,#N/A,#N/A
sign,proof,6,5.5,6,#N/A,#N/A,#N/A
sign away,transfer property,10,,10,#N/A,#N/A,#N/A
sign off,announce end of broadcast,6,,6,#N/A,#N/A,#N/A
sign on,accept job,10,,10,#N/A,#N/A,#N/A
sign up,join,4,,4,#N/A,#N/A,#N/A
signal,sign or whistle,4,7.1,4,#N/A,#N/A,3
signal,"TV, radio waves",6,7.1,6,#N/A,#N/A,3
signal,outstanding,12,7.1,12,#N/A,#N/A,3
signalize,point out,14,,16,#N/A,#N/A,#N/A
signally,remarkably,12,,12,#N/A,#N/A,#N/A
signatory,signer of a document,13,15.1,13,#N/A,#N/A,#N/A
signature,name in own handwriting,4,8.8,4,#N/A,#N/A,#N/A
signature,identifying sign,4,8.8,4,#N/A,#N/A,#N/A
signature,"marks showing pitch, key and time",12,8.8,12,#N/A,#N/A,#N/A
signboard,advertises something,6,10.1,6,#N/A,#N/A,#N/A
signer,person who wrote his name,4,7.5,4,#N/A,#N/A,#N/A
signet,small seal,14,13.1,16,#N/A,#N/A,#N/A
significance,meaning,8,10.1,8,#N/A,#N/A,#N/A
significance,importance,8,10.1,8,#N/A,#N/A,#N/A
significant,having meaning,8,9.9,8,#N/A,#N/A,6
signification,meaning,12,,12,#N/A,#N/A,#N/A
signify,show meaning,8,11.9,8,#N/A,#N/A,#N/A
signify,to have importance,8,11.9,8,#N/A,#N/A,#N/A
signify,to make known,12,11.9,12,#N/A,#N/A,#N/A
signor,"Mister, sir",12,13.3,12,#N/A,#N/A,#N/A
signora,Mrs.,12,15.8,12,#N/A,#N/A,#N/A
signorina,Miss,12,,12,#N/A,#N/A,#N/A
signpost,gives direction,6,7.9,6,#N/A,#N/A,#N/A
s'il vous plait,please,12,,12,#N/A,#N/A,#N/A
silage,stored cattle food,8,,8,#N/A,#N/A,#N/A
silence,stillness,2,6.3,4,#N/A,#N/A,#N/A
silence,make quiet,4,6.3,4,#N/A,#N/A,#N/A
silencer,deadens sound,8,11.8,8,#N/A,#N/A,#N/A
silencing,making quiet,4,6.3,4,#N/A,#N/A,#N/A
silent,not sounded,4,4.9,4,#N/A,#N/A,1
silex,heat-resisting glass,12,,12,#N/A,#N/A,#N/A
silhouette,outine picture,8,8.9,8,#N/A,#N/A,#N/A
silica,quartz,13,15.9,13,#N/A,#N/A,#N/A
silicate,a salt of silicic acid,13,13.8,13,#N/A,#N/A,#N/A
silicon,nonmetallic element,8,12.7,8,#N/A,#N/A,#N/A
silicone,a plastic and lubricant,12,13.6,12,#N/A,#N/A,#N/A
silicosis,a lung disease,14,,16,#N/A,#N/A,#N/A
silk,a fine cloth,2,7.7,4,#N/A,#N/A,#N/A
silk,a fine thread,2,7.7,4,#N/A,#N/A,#N/A
silken,smooth and soft,2,11.1,4,#N/A,#N/A,#N/A
silk-stocking,wealthy,12,,12,#N/A,#N/A,#N/A
silkworm,makes silk thread,2,8.0,4,#N/A,#N/A,#N/A
silky,soft and smooth,2,9.1,4,#N/A,#N/A,0
sill,lower part of window,2,9.1,4,#N/A,#N/A,#N/A
sillabub,milk and wine dish,13,,13,#N/A,#N/A,#N/A
sillier,more foolish,2,4.6,4,#N/A,#N/A,#N/A
silly,foolish,2,4.6,4,#N/A,#N/A,#N/A
silo,for storing animal food,6,10.3,6,#N/A,#N/A,#N/A
silt,mud deposits,12,11.3,12,#N/A,#N/A,#N/A
silvan,of the woods,14,,16,#N/A,#N/A,#N/A
silver,money,2,6.5,4,#N/A,#N/A,#N/A
silver,"a soft, white metal",4,6.5,4,#N/A,#N/A,#N/A
silver,metallic grey,8,6.5,8,#N/A,#N/A,#N/A
silverfish,a house pest,12,11.9,12,#N/A,#N/A,#N/A
silver-haired,gray-headed,6,,6,#N/A,#N/A,#N/A
silver-plated,coated with silver,6,,6,#N/A,#N/A,#N/A
silversmith,works with silver,6,11.2,6,#N/A,#N/A,#N/A
silver-tongued,makes fine speeches,12,,12,#N/A,#N/A,#N/A
silverware,things made of silver,4,5.9,4,#N/A,#N/A,#N/A
silvery,like silver,4,8.5,4,#N/A,#N/A,#N/A
simian,apelike,14,14.3,16,#N/A,#N/A,#N/A
similar,much the same,4,7.6,4,#N/A,#N/A,#N/A
similar,geometry term,12,7.6,12,#N/A,#N/A,#N/A
similarity,being much the same,4,8.9,4,#N/A,#N/A,#N/A
similarly,in the same way,4,,4,#N/A,#N/A,#N/A
simile,comparison,12,11.7,12,#N/A,#N/A,#N/A
similitude,resemblance,12,,12,#N/A,#N/A,#N/A
simmer,boil gently,6,9.4,6,#N/A,#N/A,#N/A
simoleon,a dollar,12,,12,#N/A,#N/A,#N/A
simon-pure,genuine,12,,12,#N/A,#N/A,#N/A
simony,making money from sacred things,12,,12,#N/A,#N/A,#N/A
simoom,"a hot, sandy wind",12,,12,#N/A,#N/A,#N/A
simp,a fool,13,,13,#N/A,#N/A,#N/A
simpatico,"nice, pleasant",12,17.3,12,#N/A,#N/A,#N/A
simper,silly smile,14,11.4,16,#N/A,#N/A,#N/A
simple,easy,4,6.4,4,#N/A,#N/A,1
simple,plain,6,6.4,6,#N/A,#N/A,1
simple,not complicated,6,6.4,6,#N/A,#N/A,1
simple,stupid,12,6.4,12,#N/A,#N/A,1
simple,medicinal herb,13,6.4,13,#N/A,#N/A,1
simple-minded,not bright,8,,8,#N/A,#N/A,#N/A
simpleton,a fool,8,10.9,8,#N/A,#N/A,#N/A
simplicity,plainness,10,9.9,10,#N/A,#N/A,#N/A
simplicity,naturalness,12,9.9,12,#N/A,#N/A,#N/A
simplify,to make easy,6,8.5,6,#N/A,#N/A,#N/A
simply,plainly,4,6.6,4,#N/A,#N/A,#N/A
simply,easily,4,6.6,4,#N/A,#N/A,#N/A
simply,"only, merely",8,6.6,8,#N/A,#N/A,#N/A
simulacrum,mere resemblance,14,16.2,16,#N/A,#N/A,#N/A
simulate,pretend,12,11.5,12,#N/A,#N/A,#N/A
simulate,imitate,14,11.5,16,#N/A,#N/A,#N/A
simulating,pretending,12,11.5,12,#N/A,#N/A,#N/A
simulation,reproducing exact conditions,12,10.5,12,#N/A,#N/A,#N/A
simulator,reproducer of actual conditions,12,10.1,12,#N/A,#N/A,#N/A
simulcast,put on TV and radio at same time,12,,12,#N/A,#N/A,#N/A
simultaneous,at the same time,12,11.7,12,#N/A,#N/A,#N/A
simultaneously,,8,,#N/A,#N/A,#N/A,7
sin,to do wrong,2,7.0,4,#N/A,#N/A,#N/A
since,from then till now,4,6.7,4,#N/A,#N/A,#N/A
since,because,8,6.7,8,#N/A,#N/A,#N/A
sincere,not pretending,2,9.6,4,#N/A,#N/A,#N/A
sincere,"honest, truthful",6,9.6,6,#N/A,#N/A,#N/A
sincerely,honestly,6,,6,#N/A,#N/A,#N/A
sincerity,honesty of mind,8,8.7,8,#N/A,#N/A,#N/A
sine,a trig function,12,13.7,12,#N/A,#N/A,#N/A
sine die,without date for meeting again,12,,12,#N/A,#N/A,#N/A
sine qua non,a necessity,14,,16,#N/A,#N/A,#N/A
sinecure,requires little work,14,,16,#N/A,#N/A,#N/A
sinew,body tendon,12,12.6,12,#N/A,#N/A,#N/A
sinewy,"tough, muscular",12,11.8,12,#N/A,#N/A,#N/A
sinful,wicked,6,8.8,6,#N/A,#N/A,#N/A
sing,give a song,2,4.1,4,24,#N/A,#N/A
